SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=VERKBELEG
SELFIELD|txtI2-LOW=0005284403
SELFIELD|ctxtI3-LOW=0193184361
SELFIELD|ctxtI3-HIGH=0193184374
TABLE|CDPOS
TITLE|Data Browser: Table CDPOS Select Entries         37
SBAR|
ALV|rows=37|cols=16
HDR|MANDANT	OBJECTCLAS	OBJECTID	CHANGENR	TABNAME	TABKEY	FNAME	CHNGIND	TEXT_CASE	UNIT_OLD	UNIT_NEW	CUKY_OLD	CUKY_NEW	VALUE_NEW	VALUE_OLD	_DATAAGING	
ROW0|700	VERKBELEG	0005284403	0193184361	VBAK	7000005284403	CMNGV	U	1					00000000	20260810		
ROW1|700	VERKBELEG	0005284403	0193184361	VBAK	7000005284403	GBSTK	U	1					C	B		
ROW2|700	VERKBELEG	0005284403	0193184361	VBAP	7000005284403000010	ABGRU	U	1					03			
ROW3|700	VERKBELEG	0005284403	0193184362	VBAK	7000005284403	CMFRE	U	1					20260918	00000000		
ROW4|700	VERKBELEG	0005284403	0193184362	VBAK	7000005284403	CMGST	U	1					D	A		
ROW5|700	VERKBELEG	0005284403	0193184363	VBAK	7000005284403	CMGST	U	1					B	D		
ROW6|700	VERKBELEG	0005284403	0193184363	VBAK	7000005284403	CMNGV	U	1					20260918	00000000		
ROW7|700	VERKBELEG	0005284403	0193184363	VBAK	7000005284403	GBSTK	U	1					B	C		
ROW8|700	VERKBELEG	0005284403	0193184363	VBAP	7000005284403000010	ABGRU	U	1						03		
ROW9|700	VERKBELEG	0005284403	0193184363	VBEP	70000052844030000100001	BMENG	U	1	TO	TO			         0.000	        30.000		
ROW10|700	VERKBELEG	0005284403	0193184363	VBEP	70000052844030000100001	LDDAT	U	1					20260918	20260810		
ROW11|700	VERKBELEG	0005284403	0193184363	VBEP	70000052844030000100001	MBDAT	U	1					20260918	20260810		
ROW12|700	VERKBELEG	0005284403	0193184363	VBEP	70000052844030000100001	TDDAT	U	1					20260918	20260810		
ROW13|700	VERKBELEG	0005284403	0193184363	VBEP	70000052844030000100001	WADAT	U	1					20260918	20260810		
ROW14|700	VERKBELEG	0005284403	0193184363	VBEP	70000052844030000100002	KEY	I	1								
ROW15|700	VERKBELEG	0005284403	0193184364	VBEP	70000052844030000100001	BMENG	U	1	TO	TO			        30.000	         0.000		
ROW16|700	VERKBELEG	0005284403	0193184364	VBEP	70000052844030000100001	EDATU	U	1					20260925	20260810		
ROW17|700	VERKBELEG	0005284403	0193184364	VBEP	70000052844030000100001	LDDAT	U	1					20260925	20260918		
ROW18|700	VERKBELEG	0005284403	0193184364	VBEP	70000052844030000100001	MBDAT	U	1					20260925	20260918		
ROW19|700	VERKBELEG	0005284403	0193184364	VBEP	70000052844030000100001	REQ_DLVDATE	U	1					20260925	20260810		
ROW20|700	VERKBELEG	0005284403	0193184364	VBEP	70000052844030000100001	TDDAT	U	1					20260925	20260918		
ROW21|700	VERKBELEG	0005284403	0193184364	VBEP	70000052844030000100001	WADAT	U	1					20260925	20260918		
ROW22|700	VERKBELEG	0005284403	0193184364	VBEP	70000052844030000100002	KEY	D	1								
ROW23|700	VERKBELEG	0005284403	0193184365	VBAK	7000005284403	AMTBL	U	1			INR	INR	       202160.00	            0.00		
ROW24|700	VERKBELEG	0005284403	0193184365	VBAK	7000005284403	CMGST	U	1					D	B		
ROW25|700	VERKBELEG	0005284403	0193184367	VBAK	7000005284403	CMGST	U	1					B	D		
ROW26|700	VERKBELEG	0005284403	0193184367	VBAK	7000005284403	LIFSK	U	1					01			
ROW27|700	VERKBELEG	0005284403	0193184368	VBAK	7000005284403	AMTBL	U	1			INR	INR	       187720.00	       202160.00		
ROW28|700	VERKBELEG	0005284403	0193184368	VBAK	7000005284403	CMGST	U	1					D	B		
ROW29|700	VERKBELEG	0005284403	0193184369	VBAK	7000005284403	CMGST	U	1					B	D		
ROW30|700	VERKBELEG	0005284403	0193184369	VBAK	7000005284403	FAKSK	U	1					00			
ROW31|700	VERKBELEG	0005284403	0193184369	VBAK	7000005284403	LIFSK	U	1						01		
ROW32|700	VERKBELEG	0005284403	0193184370	VBAK	7000005284403	CMGST	U	1					D	B		
ROW33|700	VERKBELEG	0005284403	0193184371	VBAK	7000005284403	CMGST	U	1					B	D		
ROW34|700	VERKBELEG	0005284403	0193184371	VBAK	7000005284403	FAKSK	U	1						00		
ROW35|700	VERKBELEG	0005284403	0193184374	VBAK	7000005284403	AMTBL	U	1			INR	INR	       180500.00	       187720.00		
ROW36|700	VERKBELEG	0005284403	0193184374	VBAK	7000005284403	CMGST	U	1					D	B		
