SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=9004953582
SELFIELD|ctxtI1-HIGH=9004953591
TABLE|LIPS
TITLE|Data Browser: Table LIPS Select Entries         12
SBAR|
ALV|rows=12|cols=385
HDR|MANDT	VBELN	POSNR	PSTYV	ERNAM	ERZET	ERDAT	MATNR	MATWA	MATKL	WERKS	LGORT	CHARG	LICHN	KDMAT	PRODH	PRDH_UNI_BATDET_PARNT_NODID	LFIMG	MEINS	VRKME	UMVKZ	UMVKN	NTGEW	BRGEW	GEWEI	VOLUM	VOLEH	KZTLF	UEBTK	UEBTO	UNTTO	CHSPL	FAKSP	MBDAT	LGMNG	ARKTX	LGPBE	VBELV	POSNV	VBTYV	VGSYS	VGBEL	VGPOS	UPFLU	UEPOS	FKREL	BATCH_BILLING_VARIANT	LADGR	TRAGR	KOMKZ	LGNUM	LISPL	LGTYP	LGPLA	BWTEX	ETTYP	BWART	BWLVS	KZDLG	BDART	PLART	MTART	XCHPF	XCHAR	VGREF	POSAR	BWTAR	SUMBD	MTVFP	EANNR	GSBER	VKBUR	VKGRP	VTWEG	SPART	GRKOR	FMENG	ANTLF	VBEAF	VBEAV	STAFO	WAVWR	KZWI1	KZWI2	KZWI3	KZWI4	KZWI5	KZWI6	SOBKZ	AEDAT	EAN11	KVGR1	KVGR2	KVGR3	KVGR4	KVGR5	MVGR1	MVGR2	MVGR3	MVGR4	MVGR5	VPZUO	VGTYP	RFVGTYP	KOSTL	KOKRS	PAOBJNR	PRCTR	PS_PSP_PNR	AUFNR	POSNR_PP	VORNR	RECIPIENT_LOCATION_CODE	AUFPL	APLZL	KDAUF	KDPOS	VPMAT	VPWRK	PRBME	UMREF	KNTTP	KZVBR	FIPOS	FISTL	GEBER	PCKPF	BEDAR_LF	CMPNT	KCMENG	KCBRGEW	KCNTGEW	KCVOLUM	UECHA	CUOBJ	CUOBJ_CH	ANZSN	SERAIL	KCGEWEI	KCVOLEH	SERNR	ABRLI	ABART	ABRVW	QPLOS	QTLOS	NACHL	MAGRV	OBJKO	OBJPO	AESKD	SHKZG	PROSA	UEPVW	EMPST	ABTNR	KOQUI	STADAT	AKTNR	KNUMH_CH	PREFE	EXART	CLINT	CHMVS	ABELN	ABELP	LFIMG_FLO	LGMNG_FLO	KCMENG_FLO	KZUMW	KMPMG	AUREL	KPEIN	KMEIN	NETPR	NETWR	KOWRR	KZBEW	MFRGR	CHHPV	ABFOR	ABGES	MBUHR	WKTNR	WKTPS	J_1BCFOP	J_1BTAXLW1	J_1BTAXLW2	J_1BTXSDC	SITUA	RSNUM	RSPOS	RSART	KANNR	KZFME	PROFL	KCMENGVME	KCMENGVMEF	KZBWS	PSPNR	EPRIO	RULES	KZBEF	MPROF	EMATN	LGBZO	HANDLE	VERURPOS	LIFEXPOS	NOATP	NOPCK	RBLVS	BERID	BESTQ	UMBSQ	UMMAT	UMWRK	UMLGO	UMCHA	UMBAR	UMSOK	SONUM	USONU	AKKUR	AKMNG	VKGRU	SHKZG_UM	INSMK	KZECH	FLGWM	BERKZ	HUPOS	NOWAB	KONTO	KZEAR	HSDAT	VFDAT	LFGJA	LFBNR	LFPOS	GRUND	FOBWA	DLVTP	EXBWR	BPMNG	EXVKW	CMPRE_FLT	KZPOD	LFDEZ	UMREV	PODREL	KZUML	FKBER	GRANT_NBR	KZWSO	GMCONTROL	POSTING_CHANGE	UM_PS_PSP_PNR	PRE_VL_ETENS	SPE_GEN_ELIKZ	SPE_SCRAP_IND	SPE_AUTH_NUMBER	SPE_INSPOUT_GUID	SPE_FOLLOW_UP	SPE_EXP_DATE_EXT	SPE_EXP_DATE_INT	SPE_AUTH_COMPLET	ORMNG	SPE_ATP_TMSTMP	SPE_ORIG_SYS	SPE_LIEFFZ	SPE_IMWRK	SPE_LIFEXPOS2	SPE_EXCEPT_CODE	SPE_KEEP_QTY	SPE_ALTERNATE	SPE_MAT_SUBST	SPE_STRUC	SPE_APO_QNTYFAC	SPE_APO_QNTYDIV	SPE_HERKL	SPE_BXP_DATE_EXT	SPE_VERSION	SPE_COMPL_MVT	J_1BTAXLW4	J_1BTAXLW5	J_1BTAXLW3	BUDGET_PD	KBNKZ	FARR_RELTYPE	SITKZ	SGT_RCAT	SGT_SCAT	RESOURCE_ID	UMRESOURCE_ID	FLPKZ	LOADING_POINT	SOLUTION_ORDER_ID	SOLUTION_ORDER_ITM_ID	SPE_HERKR	ITM_COMCO	WEMPF	CREATION_TS	CHANGED_TS	PIKMG_WH	PIKMG_WH_BU	BESTA	CMPPI	CMPPJ	FKIVP	FKSTA	GBSTA	HDALL	KOQUA	KOSTA	LVSTA	PDSTA	PKSTA	UVALL	UVFAK	UVPAK	UVPIK	UVVLK	UVWAK	VLSTP	WBSTA	UVP01	UVP02	UVP03	UVP04	UVP05	EMCST	SLCST	LCCST	PCSTA	DGSTA	SDSSTA	ICO_FKIVP	KOSTA_WH	/SAPMP/LBASP	ARC_STATUS	_DATAAGING	/CWM/LFIMG	/CWM/LFIME	/CWM/PIKMG	/CWM/PIKME	/CWM/XENTER	/CWM/XTAENTER	/CWM/KCMENG	/CWM/EBUMG	DUMMY_DELITM_INCL_EEW_PS	ICO_VGTYP	ICO_VGBEL	ICO_VGPOS	ICO_FKAIV	ICO_VKOIV	ICO_PIOIV	ICO_FKDIV	VCM_CHAIN_UUID	VCM_CHAIN_CATEGORY	/KJEDM/INVERTED	/SAPMP/LBA_NO	/SAPMP/ALT_CONV	LGTOR	FSH_SEASON_YEAR	FSH_SEASON	FSH_COLLECTION	FSH_THEME	FSH_KVGR6	FSH_KVGR7	FSH_KVGR8	FSH_KVGR9	FSH_KVGR10	FSH_VAS_REL	FSH_VAS_PRNT_ID	FSH_TRANSACTION	FSH_ITEM_GROUP	FSH_ITEM	FSH_RSNUM	FSH_RSPOS	MILL_UCDET	CONS_ORDER	WRF_CHARSTC1	WRF_CHARSTC2	WRF_CHARSTC3	
ROW0|700	9004953582	000010	ZO99	S019423	14:07:40	18.09.2026	000000000015000262	000000000015000262	FGCMNT113	6073							1	TO	TO	1	1	1	1	TO					0.0	0.0			18.09.2026	1	Bangur POWERMAX TR PPC PP 50KG			000000			0005284403	000010	X	000000	M		0001	0001							CN	601	000				ZFIN	X	X				A	KP		4003	1355		10	10	000		0	0.00	0.00		0.00	0.00	240.00	0.00	0.00	0.00	240.00									001	002	001	000	001		C			1000	0170761548	9000100901	00000000		0000			0000000000	00000000		000000				0.0000000000000000E+00							030	X	0				000000	000000000000000000	000000000000000000	0					0000			000000000000	000000																	0000000000	000		00000	1.0000000000000000E+00	1.0000000000000000E+00	0.0000000000000000E+00		0.000		1	TO	0.00	0.00		L	A0000001			0.0000000000000000E+00	14:07:40		000000						0000000000	0000					0	0.0000000000000000E+00		00000000							HxHLlHO97{6ivuQwy{c4qm	000000	000000			000	6073											0.00000	A													0000		0000	0000			0.00	0	0.00	0.0000000000000000E+00		X	0.0000000000000000E+00								00000000	0000				00000000000000000000000000000000		0	0		1	0		0				0			000	0	0		0	0000																000000				20,260,918,083,740.0000000	0.0000000	0	0					A	A							A	C	C	C	C	A		A																												000000																					000000		00000	00000	0000000000	0000	0					
ROW1|700	9004953583	000010	ZO99	S019423	14:16:07	18.09.2026	000000000015000262	000000000015000262	FGCMNT113	6073							1	TO	TO	1	1	1	1	TO					0.0	0.0			25.09.2026	1	Bangur POWERMAX TR PPC PP 50KG			000000			0005284403	000010	X	000000	M		0001	0001							CN	601	000				ZFIN	X	X				A	KP		4003	1355		10	10	000		0	0.00	0.00		0.00	0.00	240.00	0.00	0.00	0.00	240.00									001	002	001	000	001		C			1000	0170761548	9000100901	00000000		0000			0000000000	00000000		000000				0.0000000000000000E+00							030	X	0				000000	000000000000000000	000000000000000000	0					0000			000000000000	000000																	0000000000	000		00000	1.0000000000000000E+00	1.0000000000000000E+00	0.0000000000000000E+00		0.000		1	TO	0.00	0.00		L	A0000001			0.0000000000000000E+00	00:00:00		000000						0000000000	0000					0	0.0000000000000000E+00		00000000							HxHLlHO97{6ivwnxPyVdL0	000000	000000			000	6073											0.00000	A													0000		0000	0000			0.00	0	0.00	0.0000000000000000E+00		X	0.0000000000000000E+00								00000000	0000				00000000000000000000000000000000		0	0		1	0		0				0			000	0	0		0	0000																000000				20,260,918,084,607.0000000	0.0000000	0	0					A	A							A	C	C	C	C	A		A																												000000																					000000		00000	00000	0000000000	0000	0					
ROW2|700	9004953584	000010	ZO99	S019423	14:20:46	18.09.2026	000000000015000262	000000000015000262	FGCMNT113	6073							1	TO	TO	1	1	1	1	TO					0.0	0.0			25.09.2026	1	Bangur POWERMAX TR PPC PP 50KG			000000			0005284403	000010	X	000000	M		0001	0001							CN	601	000				ZFIN	X	X				A	KP		4003	1355		10	10	000		0	0.00	0.00		0.00	0.00	240.00	0.00	0.00	0.00	240.00									001	002	001	000	001		C			1000	0170761548	9000100901	00000000		0000			0000000000	00000000		000000				0.0000000000000000E+00							030	X	0				000000	000000000000000000	000000000000000000	0					0000			000000000000	000000																	0000000000	000		00000	1.0000000000000000E+00	1.0000000000000000E+00	0.0000000000000000E+00		0.000		1	TO	0.00	0.00		L	A0000001			0.0000000000000000E+00	00:00:00		000000						0000000000	0000					0	0.0000000000000000E+00		00000000							HxHLlHO97{6ivy53ofG8GG	000000	000000			000	6073											0.00000	A													0000		0000	0000			0.00	0	0.00	0.0000000000000000E+00		X	0.0000000000000000E+00								00000000	0000				00000000000000000000000000000000		0	0		1	0		0				0			000	0	0		0	0000																000000				20,260,918,085,046.0000000	0.0000000	0	0					A	A							A	C	C	C	C	A		A																												000000																					000000		00000	00000	0000000000	0000	0					
ROW3|700	9004953585	000010	ZO99	S019423	14:26:51	18.09.2026	000000000015000262	000000000015000262	FGCMNT113	6073							1	TO	TO	1	1	1	1	TO					0.0	0.0			25.09.2026	1	Bangur POWERMAX TR PPC PP 50KG			000000			0005284403	000010	X	000000	M		0001	0001							CN	601	000				ZFIN	X	X				A	KP		4003	1355		10	10	000		0	0.00	0.00		0.00	0.00	240.00	0.00	0.00	0.00	240.00									001	002	001	000	001		C			1000	0170761548	9000100901	00000000		0000			0000000000	00000000		000000				0.0000000000000000E+00							030	X	0				000000	000000000000000000	000000000000000000	0					0000			000000000000	000000																	0000000000	000		00000	1.0000000000000000E+00	1.0000000000000000E+00	0.0000000000000000E+00		0.000		1	TO	0.00	0.00		L	A0000001			0.0000000000000000E+00	00:00:00		000000						0000000000	0000					0	0.0000000000000000E+00		00000000							HxHLlHO97{6ivznTGxw9rG	000000	000000			000	6073											0.00000	A													0000		0000	0000			0.00	0	0.00	0.0000000000000000E+00		X	0.0000000000000000E+00								00000000	0000				00000000000000000000000000000000		0	0		1	0		0				0			000	0	0		0	0000																000000				20,260,918,085,651.0000000	0.0000000	0	0					A	A							A	C	C	C	C	A		A																												000000																					000000		00000	00000	0000000000	0000	0					
ROW4|700	9004953586	000010	ZO99	S019423	14:30:29	18.09.2026	000000000015000262	000000000015000262	FGCMNT113	6073							1	TO	TO	1	1	1	1	TO					0.0	0.0			25.09.2026	1	Bangur POWERMAX TR PPC PP 50KG			000000			0005284403	000010	X	000000	M		0001	0001							CN	601	000				ZFIN	X	X				A	KP		4003	1355		10	10	000		0	0.00	0.00		0.00	0.00	240.00	0.00	0.00	0.00	240.00									001	002	001	000	001		C			1000	0170761548	9000100901	00000000		0000			0000000000	00000000		000000				0.0000000000000000E+00							030	X	0				000000	000000000000000000	000000000000000000	0					0000			000000000000	000000																	0000000000	000		00000	1.0000000000000000E+00	1.0000000000000000E+00	0.0000000000000000E+00		0.000		1	TO	0.00	0.00		L	A0000001			0.0000000000000000E+00	00:00:00		000000						0000000000	0000					0	0.0000000000000000E+00		00000000							HxHLlHO97{6iv{oi8CXgVG	000000	000000			000	6073											0.00000	A													0000		0000	0000			0.00	0	0.00	0.0000000000000000E+00		X	0.0000000000000000E+00								00000000	0000				00000000000000000000000000000000		0	0		1	0		0				0			000	0	0		0	0000																000000				20,260,918,090,029.0000000	0.0000000	0	0					A	A							A	C	C	C	C	A		A																												000000																					000000		00000	00000	0000000000	0000	0					
ROW5|700	9004953587	000010	ZO99	S019423	14:31:39	18.09.2026	000000000015000262	000000000015000262	FGCMNT113	6073							1	TO	TO	1	1	1	1	TO					0.0	0.0			25.09.2026	1	Bangur POWERMAX TR PPC PP 50KG			000000			0005284403	000010	X	000000	M		0001	0001							CN	601	000				ZFIN	X	X				A	KP		4003	1355		10	10	000		0	0.00	0.00		0.00	0.00	240.00	0.00	0.00	0.00	240.00									001	002	001	000	001		C			1000	0170761548	9000100901	00000000		0000			0000000000	00000000		000000				0.0000000000000000E+00							030	X	0				000000	000000000000000000	000000000000000000	0					0000			000000000000	000000																	0000000000	000		00000	1.0000000000000000E+00	1.0000000000000000E+00	0.0000000000000000E+00		0.000		1	TO	0.00	0.00		L	A0000001			0.0000000000000000E+00	00:00:00		000000						0000000000	0000					0	0.0000000000000000E+00		00000000							HxHLlHO97{6iv}7YlKZA}G	000000	000000			000	6073											0.00000	A													0000		0000	0000			0.00	0	0.00	0.0000000000000000E+00		X	0.0000000000000000E+00								00000000	0000				00000000000000000000000000000000		0	0		1	0		0				0			000	0	0		0	0000																000000				20,260,918,090,139.0000000	0.0000000	0	0					A	A							A	C	C	C	C	A		A																												000000																					000000		00000	00000	0000000000	0000	0					
ROW6|700	9004953588	000010	ZO99	S019423	14:34:44	18.09.2026	000000000015000262	000000000015000262	FGCMNT113	6073							0.333	TO	TO	1	1	0.333	0.333	TO					0.0	0.0			25.09.2026	0.333	Bangur POWERMAX TR PPC PP 50KG			000000			0005284403	000010	X	000000	M		0001	0001							CN	601	000				ZFIN	X	X				A	KP		4003	1355		10	10	000		0	0.00	0.00		0.00	0.00	79.92	0.00	0.00	0.00	79.92									001	002	001	000	001		C			1000	0170761548	9000100901	00000000		0000			0000000000	00000000		000000				0.0000000000000000E+00							030	X	0				000000	000000000000000000	000000000000000000	0					0000			000000000000	000000																	0000000000	000		00000	3.3300000000000002E-01	3.3300000000000002E-01	0.0000000000000000E+00		0.000		1	TO	0.00	0.00		L	A0000001			0.0000000000000000E+00	00:00:00		000000						0000000000	0000					0	0.0000000000000000E+00		00000000							HxHLlHO97{6iv}{qNRehcG	000000	000000			000	6073											0.00000	A													0000		0000	0000			0.00	0	0.00	0.0000000000000000E+00		X	0.0000000000000000E+00								00000000	0000				00000000000000000000000000000000		0	0		0.333	0		0				0			000	0	0		0	0000																000000				20,260,918,090,444.0000000	0.0000000	0	0					A	A							A	C	C	C	C	A		A																												000000																					000000		00000	00000	0000000000	0000	0					
ROW7|700	9004953589	000010	ZO99	S019423	14:37:13	18.09.2026	000000000015000262	000000000015000262	FGCMNT113	6073							0.017	TO	TO	1	1	0.017	0.017	TO					0.0	0.0			25.09.2026	0.017	Bangur POWERMAX TR PPC PP 50KG			000000			0005284403	000010	X	000000	M		0001	0001							CN	601	000				ZFIN	X	X				A	KP		4003	1355		10	10	000		0	0.00	0.00		0.00	0.00	4.08	0.00	0.00	0.00	4.08									001	002	001	000	001		C			1000	0170761548	9000100901	00000000		0000			0000000000	00000000		000000				0.0000000000000000E+00							030	X	0				000000	000000000000000000	000000000000000000	0					0000			000000000000	000000																	0000000000	000		00000	1.6650000000000002E-02	1.6650000000000002E-02	0.0000000000000000E+00		0.000		1	TO	0.00	0.00		L	A0000001			0.0000000000000000E+00	00:00:00		000000						0000000000	0000					0	0.0000000000000000E+00		00000000							HxHLlHO97{6iw0hDPntCPG	000000	000000			000	6073											0.00000	F													0000		0000	0000			0.00	0	0.00	0.0000000000000000E+00		X	0.0000000000000000E+00								00000000	0000				00000000000000000000000000000000		0	0		0.017	0		0				0			000	0	0		0	0000																000000				20,260,918,090,713.0000000	0.0000000	0	0					A	A							A	C	C	C	C	A		A																												000000																					000000		00000	00000	0000000000	0000	0					
ROW8|700	9004953590	000010	TAN	S019423	15:17:29	18.09.2026	000000000015000262		FGCMNT113	6842	GDF						18.500	TO	TO	1	1	18.500	18.500	TO					0.0	0.0			18.09.2026	18.500	Bangur POWERMAX TR PPC PP 50KG			000000				000000		000000			0001	0001	A							601	000				ZFIN	X	X				A	KP					10	10	000		0	0.00	0.00		0.00	0.00	4,440.00	0.00	0.00	0.00	4,440.00		18.09.2026							001	002	001	000	001						0000000000	9000100901	00000000		0000			0000000000	00000000		000000				0.0000000000000000E+00							030		1.500	1.500	1.500		000000	000000000000000000	000000000000000000	0		TO			0000			000000000000	000000																	0000000000	000		00000	1.8500000000000000E+01	1.8500000000000000E+01	1.5000000000000000E+00		0.000		1	TO	0.00	0.00		L	A0000001			0.0000000000000000E+00	00:00:00		000000						0000000000	0000					0	0.0000000000000000E+00		00000000							HxHLlHO97{6iwBxNucqN4m	000000	000000			000	6842											0.00000	A													0000		0000	0000			0.00	0	0.00	0.0000000000000000E+00			0.0000000000000000E+00								00000000	0000				00000000000000000000000000000000		0	0		20	0		0				0			000	0	0		0	0000																000000				20,260,918,094,729.0000000	20,260,918,094,837.0000000	0	0						A			A				A	C	C	C	C	A		A																												000000																					000000		00000	00000	0000000000	0000						
ROW9|700	9004953590	900001	ZB99	S019423	15:18:32	18.09.2026	000000000015000262		FGCMNT113	6842	GDF	2632000443	UPGCM01				1.500	TO	TO	1	1	1.500	1.500	TO					0.0	0.0			18.09.2026	1.500	Bangur POWERMAX TR PPC PP 50KG			000000				000000		000000	M		0001	0001								601	000				ZFIN	X	X				A	KP					10	10	000		0	0.00	0.00		0.00	0.00	360.00	0.00	0.00	0.00	360.00									001	002	001	000	001						0000000000	9000100901	00000000		0000			0000000000	00000000		000000				0.0000000000000000E+00							030		0				000010	000000000000000000	000000000000000000	0					0000			000000000000	000000																	0000000000	000		00000	1.5000000000000000E+00	1.5000000000000000E+00	0.0000000000000000E+00		0.000		1	TO	0.00	0.00		L	A0000001			0.0000000000000000E+00	00:00:00		000000						0000000000	0000					0	0.0000000000000000E+00		00000000							HxHLlHO97{6iwCDnOi4tFW	000000	000000			000	6842											0.00000	A													0000		0000	0000			0.00	0	0.00	0.0000000000000000E+00		X	0.0000000000000000E+00								00000000	0000				00000000000000000000000000000000		0	0		1.500	0		0				0			000	0	0		0	0000																000000				20,260,918,094,832.0000000	0.0000000	0	0					A	A							C	C	C	C	C	C		A																												000000																					000000		00000	00000	0000000000	0000						
