SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_CFD_ODATA*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries        200
SBAR|Selection restricted to 200 hits
ALV|rows=200|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|CL_CFD_ODATA_ADAPTER==========CCMAC	A			D$				I	S		SAP	01.06.2015	000001			000		SAP	01.06.2015	12:00:18	144	X	S	X		01.06.2015	120018	01.06.2015	120018	D$S	X	0	FF00060000121F9D02A73D325841208681E87C4AF0E85F956E45C136E2D6C37EFDFA5AC5BD085E1729C390C934490FA355471DA0E9A159895A75D6056DD071EF	
ROW1|CL_CFD_ODATA_API_CONTROLLER===CCMAC	A			D$				I	S		SAP	01.02.2019	000001			000		SAP	01.02.2019	14:41:56	144	X	S	X		01.02.2019	144156	01.02.2019	144156	D$S	X	0	FF00060000121F9D026D8F0C56108861203A9F123CFA57A55B51B08DB8F5B05FBFBE56712F82D745CA3064324DD2C368D55107687A6856A2569D75411B74DCBB	
ROW2|CL_CFD_ODATA_API_UTILITY======CCMAC	A			D$				I	S		SAP	01.02.2019	000001			000		SAP	01.02.2019	14:41:56	144	X	S	X		01.02.2019	144156	01.02.2019	144156	D$S	X	0	FF00060000121F9D02B447062B08C430109D4F091EFDABD2AD28D846DC7AD8AF5F5FABB817C1EB226518329926E961B4EAA803343D342B51ABCEBAA00D3AEE5D	
ROW3|CL_CFD_ODATA_COMMON===========CCMAC	A			D$				I	S		SAP	13.01.2020	000001			000		SAP	13.01.2020	14:09:58	144	X	S	X		13.01.2020	140958	13.01.2020	140958	D$S	X	0	FF00060000121F9D026D8F0C56108861203A9F123CFA57A55B51B08DB8F5B05FBFBE56712F82D745CA3064324DD2C368D55107687A6856A2569D75411B74DCBB	
ROW4|CL_CFD_ODATA_COMMON===========CM006	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:23:25	445	X	S	X		19.11.2020	112325	19.11.2020	112325	D$S	X	0	FF00360000121F9D0269DF5C761206C2287C1E85C48D2CF00D343181C485978DBA25A514AD4ABD80469E1ECF7408659C165C34163A275FA674DABF93494EFF1B	
ROW5|CL_CFD_ODATA_ENTITY_EXPOSURE==CM00K	A			D$				I	S		SAP	22.01.2021	000001			000		SAP	22.01.2021	09:24:34	191	X	S	X		22.01.2021	092435	22.01.2021	092434	D$S	X	0	FF000A0000121F9D0269B76C56108681203C8FD2A35E7C030F420B0A5A0FEDBDF84F405B69ABE8C557AF9F295654F4E441681866B3936C92439825AAE4818902	
ROW6|CL_CFD_ODATA_ENTITY_EXPOSURE==CM00L	A			D$				I	S		SAP	22.01.2021	000001			000		SAP	22.01.2021	09:24:34	192	X	S	X		22.01.2021	092435	22.01.2021	092434	D$S	X	0	FF000A0000121F9D02D26ED9AC200C0341781EA547BDF8061E841614B41EECBDF84F40DBD256D18BAF5EBFA6A828D49307A16198CD4EB2490E6196A89207660A	
ROW7|CL_CFD_ODATA_ENTITY_EXPOSURE==CM00M	A			D$				I	S		SAP	22.01.2021	000001			000		SAP	22.01.2021	09:24:34	194	X	S	X		22.01.2021	092435	22.01.2021	092434	D$S	X	0	FF000A0000121F9D02B45BF62A08C350143E8FD25117DFC041684141EB60F6E03F016DA5ADA28BAF5E3F23281DEAE420341CCECD3DC9CDCD104E886A4560A644	
ROW8|CL_CFD_ODATA_EXPAND_TREE_CNTXTCCMAC	A			D$				I	S		SAP	06.04.2021	000001			000		SAP	06.04.2021	14:02:06	144	X	S	X		06.04.2021	140207	06.04.2021	140206	D$S	X	0	FF00060000121F9D02698F0C56108861203A9F123CFA57A55B51B08DB8F5B05FBFBE56712F82D745CA3064324DD2C368D55107687A6856A2569D75411B74DCBB	
ROW9|CL_CFD_ODATA_EXPAND_TREE_HNDLRCCAU	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	100	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00040000121F9D023A86FF0C5A0C4A40ACC050CA50CC900AA44B18321832816C0520CE078A16312483C5D380A23950563E505481A1122AAFC0E0C8E004C401	
