SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_LE_SHP_ODATA_API_HELPER*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         15
SBAR|
ALV|rows=15|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|CL_LE_SHP_ODATA_API_HELPER====CCAU	A			D$				I	S		SAP	16.03.2020	000003			001		SAP	05.03.2021	22:26:46	3,521	X	S	X		05.03.2021	222646	05.03.2021	222646	D$S	X	0	FF004A0200121F9D02DABED9F6348E2471BC3E4A74F762774ECBCEAEEEC59D56B72BC1C0CC70CBC30832773BAFA24CC8001A085C1E6046B7FBD9D9AAEA18DBD8	
ROW1|CL_LE_SHP_ODATA_API_HELPER====CCDEF	A			D$				I	S		SAP	16.03.2020	000003			001		SAP	20.04.2020	09:16:44	0	X	S	X		20.04.2020	091644	20.04.2020	091644	D$S	X	0		
ROW2|CL_LE_SHP_ODATA_API_HELPER====CCIMP	A			D$				I	S		SAP	16.03.2020	000003			001		SAP	20.04.2020	09:16:44	0	X	S	X		20.04.2020	091644	20.04.2020	091644	D$S	X	0		
ROW3|CL_LE_SHP_ODATA_API_HELPER====CCMAC	A			D$				I	S		SAP	16.03.2020	000002			001		SAP	04.04.2020	19:18:37	144	X	S	X		04.04.2020	191837	04.04.2020	191837	D$S	X	0	FF00060000121F9D02DE1E19AC2010C340743E2578F4AF4AB7A2601B71EB61BF7E7DADE25E04AF8B9461C8649AA487D1AAA30ED0F4D0AC44AD3AEB8236E8B877	
ROW4|CL_LE_SHP_ODATA_API_HELPER====CI	A			D$				I	S		SAP	16.03.2020	000004			001		SAP	05.03.2021	22:27:11	643	X	S	X		05.03.2021	222711	05.03.2021	222711	D$S	X	0	FF003C0000121F9D02B46F364B890351143E8FE2CECD38B37787889A2A010BE254B94AC5804C0A47111394A7D7D31799242411580DDDB9F5552597A4D32C4EDF	
ROW5|CL_LE_SHP_ODATA_API_HELPER====CM001	A			D$				I	S		SAP	16.03.2020	000002			001		SAP	04.04.2020	19:18:37	291	X	S	X		04.04.2020	191837	04.04.2020	191837	D$S	X	0	FF00160000121F9D02DE8EB9EC20080351F47E8A4B5DE81FB8304AD4858F1817EE086255E28BA818FF5E2F55C4AA884B90C909D09696CD616628B8A0447AB030	
ROW6|CL_LE_SHP_ODATA_API_HELPER====CM002	A			D$				I	S		SAP	16.03.2020	000002			001		SAP	04.04.2020	19:18:37	306	X	S	X		04.04.2020	191837	04.04.2020	191837	D$S	X	0	FF00180000121F9D0269C70C7613048230FC3F8A477BD037F0D054223DD836C68337A2B0B624DA1214E3DBEBBF4B1016A47804997C31EEAE3B5EBE9D99055C30	
ROW7|CL_LE_SHP_ODATA_API_HELPER====CM003	A			D$				I	S		SAP	16.03.2020	000002			001		SAP	04.04.2020	19:18:37	543	X	S	X		04.04.2020	191837	04.04.2020	191837	D$S	X	0	FF00200000121F9D02B73DB37D49180AA3F8F953F6D1A005F931B2A8D412D4C5B4A04F32759560295343FF7A3BF799F36EE85422C597CB6177779BBB46BFF3BC	
ROW8|CL_LE_SHP_ODATA_API_HELPER====CM004	A			D$				I	S		SAP	22.01.2021	000001			001		SAP	22.01.2021	19:41:27	651	X	S	X		22.01.2021	194127	22.01.2021	194127	D$S	X	0	FF00380000121F9D02B77D6BD9691B88A2E753B20316A9BAAEDA4AA9121E2A4D68625E2B1488291190503B58CAD7D373EF90D8533B91901089EDAB238FC7E399	
ROW9|CL_LE_SHP_ODATA_API_HELPER====CM005	A			D$				I	S		SAP	22.01.2021	000001			001		SAP	22.01.2021	19:41:27	516	X	S	X		22.01.2021	194127	22.01.2021	194127	D$S	X	0	FF00320000121F9D02B46F763D09C360143E3F853BAF944B13134C88E057140870A1570B301C4B10711B88BF1E4F3B3E36191851745BDF3C69E9DAF2919CBE67	
ROW10|CL_LE_SHP_ODATA_API_HELPER====CM006	A			D$				I	S		SAP	22.01.2021	000001			001		SAP	22.01.2021	19:41:27	592	X	S	X		22.01.2021	194127	22.01.2021	194127	D$S	X	0	FF00280000121F9D02BF5DABEB49180882F35378131E306A7C149206AB92281044F1EDA258D18040000946FDED387B45A0B68D989840ED66D25EEFAB2199DDBD	
ROW11|CL_LE_SHP_ODATA_API_HELPER====CO	A			D$				I	S		SAP	16.03.2020	000003			001		SAP	20.04.2020	09:17:07	59	X	S	X		20.04.2020	091707	20.04.2020	091707	D$S	X	0	FF00060000121F9D023E86FF0C0A4018C010C4E0CF10C2E0CAE00C265D8062C1509E2750C68F410FAC6E140E37F81FCE1A8523118EC6FF88860000	
ROW12|CL_LE_SHP_ODATA_API_HELPER====CP	A		X	D$				K	S		SAP	16.03.2020	000005			001		SAP	05.03.2021	22:29:12	424	X	S	X		11.02.2025	132001	05.03.2021	222912	D$S	X	0	FF00380000121F9D02A35D335A4D1808A2E8FD94E04BA1D0FE411F4A2B581094B6EF62A3D2406AC4C442BF3EBD9BB4642DA90189E8EE5E0EB31B314461E6CECE	
ROW13|CL_LE_SHP_ODATA_API_HELPER====CT	A			D$				I	S		SAP	16.03.2020	000002			001		SAP	04.04.2020	19:18:37	216		S	X		04.04.2020	191837	04.04.2020	191837	D$S	X	0	FF00060000121F9D02DA4EB5AC200C03C1F914F12278F01F440B150A16F55E6A92DA82A6D207D2AFD7D9CDA107F16C0F65D84777B7C961768237D658D216B0E8	
ROW14|CL_LE_SHP_ODATA_API_HELPER====CU	A			D$				I	S		SAP	16.03.2020	000005			001		SAP	05.03.2021	22:27:48	1,015	X	S	X		05.03.2021	222748	05.03.2021	222748	D$S	X	0	FF00740000121F9D02A37DF3EB691B86A2F8FD287DDCA4C1A43D4EDAA4021D436205F167DA9EAA92A65051DAA82D1BFDF4ECF89AE26671DD3209AD8E8F7E2A09	
