SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_SHP_API2_HELPER*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         14
SBAR|
ALV|rows=14|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|CL_SHP_API2_HELPER============CCAU	A			D$				I	S		SAP	04.04.2020	000002			001		SAP	18.05.2020	11:28:39	3,823	X	S	X		18.05.2020	112839	18.05.2020	112839	D$S	X	0	FF00020200121F9D02BF7DB36D6E1A49E2787F14D7F22264EB720B0977C75D2D5B952720854952CE13BC72193B042FB1136C27C09BFDEA5C778FE5912CC9F23A	
ROW1|CL_SHP_API2_HELPER============CCDEF	A			D$				I	S		SAP	04.04.2020	000002			001		SAP	18.05.2020	11:28:39	187	X	S	X		18.05.2020	112839	18.05.2020	112839	D$S	X	0	FF00080000121F9D02B453062B08C340109D4F099E54FCA990560C68529A2AE4EBEBECB6B227E9B1226158BA99D9B487B71433CE38B01C9E28E8F99C704364EF	
ROW2|CL_SHP_API2_HELPER============CCIMP	A			D$				I	S		SAP	04.04.2020	000002			001		SAP	18.05.2020	11:28:39	1,536	X	S	X		18.05.2020	112839	18.05.2020	112839	D$S	X	0	FF00BA0000121F9D0269DFEC761A3982285C8F626D2E0251881276AFA26425169B60093031860D5796631B7030186183766FF6D59D53D53663333DF66C1425EE	
ROW3|CL_SHP_API2_HELPER============CCMAC	A			D$				I	S		SAP	04.04.2020	000002			001		SAP	18.05.2020	11:28:39	144	X	S	X		18.05.2020	112839	18.05.2020	112839	D$S	X	0	FF00060000121F9D02AB3D325841208681E87C4AF0E85F956E45C136E2D6C37EFDFA5AC5BD085E1729C390C934490FA355471DA0E9A159895A75D6056DD071EF	
ROW4|CL_SHP_API2_HELPER============CI	A			D$				I	S		SAP	04.04.2020	000002			001		SAP	18.05.2020	11:28:39	203	X	S	X		18.05.2020	112839	18.05.2020	112839	D$S	X	0	FF000C0000121F9D02B457362B080251183D8FD20BD4A265BBB002212A548256616924994599D0D3DBE72C3217ED4B8703F767E6DED59DF92E253DB1C2C365CD	
ROW5|CL_SHP_API2_HELPER============CM001	A			D$				I	S		SAP	04.04.2020	000002			001		SAP	18.05.2020	11:28:39	493	X	S	X		18.05.2020	112839	18.05.2020	112839	D$S	X	0	FF001A0000121F9D02DA9ED5B5240C85E1E7A71CE8262F16E465A4A169254C17D302AFC4CD95825FE894BAE9AFDB73DEA5DB94C220C5D8E1C1F3F99EF788CFFB	
ROW6|CL_SHP_API2_HELPER============CM002	A			D$				I	S		SAP	04.04.2020	000002			001		SAP	18.05.2020	11:28:39	293	X	S	X		18.05.2020	112839	18.05.2020	112839	D$S	X	0	FF00140000121F9D02B71D33E8491808C2E8FB293DE2010F9E8584A45539A8C470E0D6285469AC682C9270E1AFC3D7AD019B82124FAB9DBCB4DD6D67F7F26667	
ROW7|CL_SHP_API2_HELPER============CM003	A			D$				I	S		SAP	04.04.2020	000002			001		SAP	18.05.2020	11:28:39	839	X	S	X		18.05.2020	112839	18.05.2020	112839	D$S	X	0	FF00520000121F9D026DDFFC7AD386A1287E3E0A6FD0876E5ABBC715898D74ADD442D522B57D42296B211263883F5DF7B2AFDE1D3B406208DEDDA6AD66B9FA89	
ROW8|CL_SHP_API2_HELPER============CM004	A			D$				I	S		SAP	04.04.2020	000002			001		SAP	18.05.2020	11:28:39	176	X	S	X		18.05.2020	112839	18.05.2020	112839	D$S	X	0	FF000C0000121F9D02ABDD3256411886A2E8F914475D1CDC5DA4111DD4C18AA394526CA1A854FFBFDEB46044FD01D3C78577F3926CE7BE105A46D20647CA8A1D	
ROW9|CL_SHP_API2_HELPER============CM005	A			D$				I	S		SAP	20.11.2020	000001			001		SAP	20.11.2020	09:27:52	893	X	S	X		20.11.2020	092752	20.11.2020	092752	D$S	X	0	FF00600000121F9D02BB7D73EB492308C3F0FB5348BC4093DAB4E855D39AD0058504C12A6ABD2216A96E024A909AF6C6BF6EDF99117717669935E1B4BB5F9EEC	
