SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=SHPDELIVERY_INCL_EEW_PS
TABLE|DD03L
TITLE|Data Browser: Table DD03L Select Entries         16
SBAR|
ALV|rows=16|cols=31
HDR|TABNAME	FIELDNAME	AS4LOCAL	AS4VERS	POSITION	KEYFLAG	MANDATORY	ROLLNAME	CHECKTABLE	ADMINFIELD	INTTYPE	INTLEN	REFTABLE	PRECFIELD	REFFIELD	CONROUT	NOTNULL	DATATYPE	LENG	DECIMALS	DOMNAME	SHLPORIGIN	TABLETYPE	DEPTH	COMPTYPE	REFTYPE	LANGUFLAG	DBPOSITION	ANONYMOUS	OUTPUTSTYLE	SRS_ID	
ROW0|SHPDELIVERY_INCL_EEW_PS	.INCLU--AP	A	0000	0002					0		000000		ZSDA_CUSTOM_FIELDS1					000000	000000				00	S			0000		00	0	
ROW1|SHPDELIVERY_INCL_EEW_PS	DUMMY_DELIVERY_INCL_EEW_PS	A	0000	0001			DUMMY		0	C	000002						CHAR	000001	000000	DUMMY			00	E			0000		00	0	
ROW2|SHPDELIVERY_INCL_EEW_PS	ZZAUFNR	A	0000	0014			AUFNR	*	1	C	000024						CHAR	000012	000000	AUFNR			00	E			0000		00	0	
ROW3|SHPDELIVERY_INCL_EEW_PS	ZZDRIVERMOB	A	0000	0008			TELEF		1	C	000028						CHAR	000014	000000	TELNR			00	E			0000		00	0	
ROW4|SHPDELIVERY_INCL_EEW_PS	ZZDRIVER_NAME	A	0000	0007			BU_NAMEOR1		1	C	000080						CHAR	000040	000000	BU_NAME			00	E			0000		00	0	
ROW5|SHPDELIVERY_INCL_EEW_PS	ZZDRIVER_NO	A	0000	0006			BU_PARTNER		1	C	000020						CHAR	000010	000000	BU_PARTNER	D		00	E			0000		00	0	
ROW6|SHPDELIVERY_INCL_EEW_PS	ZZEBELN	A	0000	0013			EBELN		1	C	000020						CHAR	000010	000000	EBELN	D		00	E			0000		00	0	
ROW7|SHPDELIVERY_INCL_EEW_PS	ZZLRGRDATE	A	0000	0004			DATUM		1	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW8|SHPDELIVERY_INCL_EEW_PS	ZZLRGRNO	A	0000	0003			ZLRGRNO		1	C	000040						CHAR	000020	000000	CHAR20			00	E			0000		00	0	
ROW9|SHPDELIVERY_INCL_EEW_PS	ZZPARTNER	A	0000	0010			BU_PARTNER		1	C	000020						CHAR	000010	000000	BU_PARTNER	D		00	E			0000		00	0	
ROW10|SHPDELIVERY_INCL_EEW_PS	ZZREFDI	A	0000	0016			ZREFDI		1	C	000020						CHAR	000010	000000				00	E			0000		00	0	
ROW11|SHPDELIVERY_INCL_EEW_PS	ZZSEALNO	A	0000	0015			ZSEALNO		1	C	000100						CHAR	000050	000000				00	E			0000		00	0	
ROW12|SHPDELIVERY_INCL_EEW_PS	ZZVBELN	A	0000	0012			VBELN		1	C	000020						CHAR	000010	000000	VBELN			00	E			0000		00	0	
ROW13|SHPDELIVERY_INCL_EEW_PS	ZZVEHICLE_NO	A	0000	0005			ZVEHICAL		1	C	000040						CHAR	000020	000000	ZVEHICLE	D		00	E			0000		00	0	
ROW14|SHPDELIVERY_INCL_EEW_PS	ZZVHCLTYP	A	0000	0011			ZVHCLTYP		1	C	000020						CHAR	000010	000000	ZVHCLTYPE	F		00	E			0000		00	0	
ROW15|SHPDELIVERY_INCL_EEW_PS	ZZWERKS	A	0000	0009			WERKS_D		1	C	000008						CHAR	000004	000000	WERKS	D		00	E			0000		00	0	
