SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=ZSDA_CUSTOM_FIELDS1
TABLE|DD03L
TITLE|Data Browser: Table DD03L Select Entries         14
SBAR|
ALV|rows=14|cols=31
HDR|TABNAME	FIELDNAME	AS4LOCAL	AS4VERS	POSITION	KEYFLAG	MANDATORY	ROLLNAME	CHECKTABLE	ADMINFIELD	INTTYPE	INTLEN	REFTABLE	PRECFIELD	REFFIELD	CONROUT	NOTNULL	DATATYPE	LENG	DECIMALS	DOMNAME	SHLPORIGIN	TABLETYPE	DEPTH	COMPTYPE	REFTYPE	LANGUFLAG	DBPOSITION	ANONYMOUS	OUTPUTSTYLE	SRS_ID	
ROW0|ZSDA_CUSTOM_FIELDS1	ZZAUFNR	A	0000	0012			AUFNR		0	C	000024						CHAR	000012	000000	AUFNR			00	E			0000		00	0	
ROW1|ZSDA_CUSTOM_FIELDS1	ZZDRIVERMOB	A	0000	0006			TELEF		0	C	000028						CHAR	000014	000000	TELNR			00	E			0000		00	0	
ROW2|ZSDA_CUSTOM_FIELDS1	ZZDRIVER_NAME	A	0000	0005			BU_NAMEOR1		0	C	000080						CHAR	000040	000000	BU_NAME			00	E			0000		00	0	
ROW3|ZSDA_CUSTOM_FIELDS1	ZZDRIVER_NO	A	0000	0004			BU_PARTNER		0	C	000020						CHAR	000010	000000	BU_PARTNER	D		00	E			0000		00	0	
ROW4|ZSDA_CUSTOM_FIELDS1	ZZEBELN	A	0000	0011			EBELN		0	C	000020						CHAR	000010	000000	EBELN	D		00	E			0000		00	0	
ROW5|ZSDA_CUSTOM_FIELDS1	ZZLRGRDATE	A	0000	0002			DATUM		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW6|ZSDA_CUSTOM_FIELDS1	ZZLRGRNO	A	0000	0001			ZLRGRNO		0	C	000040						CHAR	000020	000000	CHAR20			00	E			0000		00	0	
ROW7|ZSDA_CUSTOM_FIELDS1	ZZPARTNER	A	0000	0008			BU_PARTNER		0	C	000020						CHAR	000010	000000	BU_PARTNER	D		00	E			0000		00	0	
ROW8|ZSDA_CUSTOM_FIELDS1	ZZREFDI	A	0000	0014			ZREFDI		0	C	000020						CHAR	000010	000000				00	E			0000		00	0	
ROW9|ZSDA_CUSTOM_FIELDS1	ZZSEALNO	A	0000	0013			ZSEALNO		0	C	000100						CHAR	000050	000000				00	E			0000		00	0	
ROW10|ZSDA_CUSTOM_FIELDS1	ZZVBELN	A	0000	0010			VBELN		0	C	000020						CHAR	000010	000000	VBELN			00	E			0000		00	0	
ROW11|ZSDA_CUSTOM_FIELDS1	ZZVEHICLE_NO	A	0000	0003			ZVEHICAL		0	C	000040						CHAR	000020	000000	ZVEHICLE	D		00	E			0000		00	0	
ROW12|ZSDA_CUSTOM_FIELDS1	ZZVHCLTYP	A	0000	0009			ZVHCLTYP		0	C	000020						CHAR	000010	000000	ZVHCLTYPE	F		00	E			0000		00	0	
ROW13|ZSDA_CUSTOM_FIELDS1	ZZWERKS	A	0000	0007			WERKS_D		0	C	000008						CHAR	000004	000000	WERKS	D		00	E			0000		00	0	
