SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_API_OUTBOUND_DELIV*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries        200
SBAR|Selection restricted to 200 hits
ALV|rows=200|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|CL_API_OUTBOUND_DELIVE_DPC====CCDEF	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	187		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00080000121F9D02D24E19AC200C0341743E257852F1A7425A31A04969AA90AFAFB3DBCA9EA4C78A8461E96666D31EDE52CC38E3C07278A2A0E773C20D91BD	
ROW1|CL_API_OUTBOUND_DELIVE_DPC====CCIMP	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	174		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00080000121F9D02AF7D6A5961100682F3294B8FA53F15A252219A62D243BFDECE6E5AF420E4D6D2128649C67D883023569C7122057724F4BC33AE18A9858C	
ROW2|CL_API_OUTBOUND_DELIVE_DPC====CCMAC	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	144		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00060000121F9D02698F0C56108861203A9F123CFA57A55B51B08DB8F5B05FBFBE56712F82D745CA3064324DD2C368D55107687A6856A2569D75411B74DCBB	
ROW3|CL_API_OUTBOUND_DELIVE_DPC====CI	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	50		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00020000121F9D026F0CFF190A188A183219CA1812194A18521914188A816432909DC990CF90C7A007141985C316020000	
ROW4|CL_API_OUTBOUND_DELIVE_DPC====CM001	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	356		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF000E0000121F9D026DBFEC76120682287C1E854BB9509F0013C56A480409D4BFAB4D6D2B3681B616F0E7C657C733B3D112456C20D50B3727DD9DEECE699B7C	
ROW5|CL_API_OUTBOUND_DELIVE_DPC====CM002	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	3,548		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00AA0200121F9D02B37DB36B6AE34AC270DFEEBFE02AC9A6E2F57736BBB549150B2450156C9721F6E64A651006652D44248CD737F9EB6CF7194DCE9C99D1E8	
ROW6|CL_API_OUTBOUND_DELIVE_DPC====CM003	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	1,936		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00A00100121F9D02B46F764D6D1B51183E3FC5574D9A290D90A45FD3668662123C133E061CD25C79003BE01663621B2837F9EBEEBB2B0392B064D9D458D2FB	
ROW7|CL_API_OUTBOUND_DELIVE_DPC====CM004	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	258		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00080000121F9D02A3BD32E8491808A2F0FB291CE520FE024990A02111682A02B7A6695725115028D1137F1DBE1982060E9A4848486C5EB63B9D99B7DBF4BD	
ROW8|CL_API_OUTBOUND_DELIVE_DPC====CM005	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	4,051		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF002E0300121F9D02B46F7ECD4D24571CEDD77C0B575295DD6C850006369B5476AB08F62EAAC298B2BD907D52816DC01B1B7B2D63C2CB7E75E7768F853C9AEE	
ROW9|CL_API_OUTBOUND_DELIVE_DPC====CM006	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	4,275		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00660300121F9D02B46F76CD6D1B5718DE9FE2AB26CDD48DED3869DA6932A35A6EA49938F2D84AD25C71AC8F584A254B9564BBBEC95F77CF2E084BC09E0541	
