SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_API_OUTBOUND_DELIVE_DPC_EXT*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         58
SBAR|
ALV|rows=58|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|CL_API_OUTBOUND_DELIVE_DPC_EXTCCAU	A			D$				I	S		SAP	27.11.2018	000021			001		SAP	27.05.2022	11:49:07	57,084	X	S	X		27.05.2022	114907	27.05.2022	114907	D$S	X	0	FF00941600121F9D02977D77ED6EE348D674E3EBFC0B4CFB83241FAB2DC9EE6EB74FCB67285E246E53249BA4646BCD9A85010190440B046100A4A43D7BFAAFEB	
ROW1|CL_API_OUTBOUND_DELIVE_DPC_EXTCCDEF	A			D$				I	S		SAP	15.06.2018	000020			001		SAP	27.05.2022	11:49:07	187		S	X		27.05.2022	114907	27.05.2022	114907	D$S	X	0	FF00080000121F9D02D24E19AC200C0341743E257852F1A7425A31A04969AA90AFAFB3DBCA9EA4C78A8461E96666D31EDE52CC38E3C07278A2A0E773C20D91BD	
ROW2|CL_API_OUTBOUND_DELIVE_DPC_EXTCCIMP	A			D$				I	S		SAP	15.06.2018	000023			001		SAP	27.05.2022	11:49:07	3,688	X	S	X		27.05.2022	114907	27.05.2022	114907	D$S	X	0	FF00AA0100121F9D0269DFDC9AD34892289C3F859817D91BF6CED89E979D183B4246F298088434B2248F9F08AC9B89459710485EFF7AEDC92C5ADD4D575F4058	
ROW3|CL_API_OUTBOUND_DELIVE_DPC_EXTCCMAC	A			D$				I	S		SAP	15.06.2018	000020			001		SAP	27.05.2022	11:49:07	144		S	X		27.05.2022	114907	27.05.2022	114907	D$S	X	0	FF00060000121F9D02AB3D325841208681E87C4AF0E85F956E45C136E2D6C37EFDFA5AC5BD085E1729C390C934490FA355471DA0E9A159895A75D6056DD071EF	
ROW4|CL_API_OUTBOUND_DELIVE_DPC_EXTCI	A			D$				I	S		SAP	15.06.2018	000022			001		SAP	27.05.2022	11:49:07	1,779	X	S	X		27.05.2022	114907	27.05.2022	114907	D$S	X	0	FF00CC0000121F9D02A77DF36D4EDB08C2F87E14DA376D663AED242F3B93CC388E93BA4D4DE23F69F24A4300DBB4D85081B1F3E9D367F700E9D04916D3B12374	
ROW5|CL_API_OUTBOUND_DELIVE_DPC_EXTCM001	A			D$				I	S		SAP	15.06.2018	000023			001		SAP	27.05.2022	11:49:07	650	X	S	X		27.05.2022	114907	27.05.2022	114907	D$S	X	0	FF00260000121F9D026DD76A7AD30682E8FB29DC921CFA71E93191A2E02691DA802887E66439D8A448C64660487BE95F4FDFCC628C6353D4AA04571E3D81EDDD	
ROW6|CL_API_OUTBOUND_DELIVE_DPC_EXTCM002	A			D$				I	S		SAP	15.06.2018	000022			001		SAP	27.05.2022	11:49:07	577	X	S	X		27.05.2022	114907	27.05.2022	114907	D$S	X	0	FF00280000121F9D02D2AED5F4240C04D1F75338CA41BD9B6842003F121563489453534A9126E523B4F871F1AFE3DB594AD5B651E2A1C54E5EE82EBBB3CBE1CD	
ROW7|CL_API_OUTBOUND_DELIVE_DPC_EXTCM003	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:07	4,724	X	S	X		27.05.2022	114907	27.05.2022	114907	D$S	X	0	FF00C60100121F9D02A77D6B6D4E6339A2FD53A89B0FB253511C27F9948A5D9111B294E8E148D88E924A518887CD35022E20F9DA95BA7FFDE674CF8E76D9DD99	
ROW8|CL_API_OUTBOUND_DELIVE_DPC_EXTCM004	A			D$				I	S		SAP	15.06.2018	000023			001		SAP	27.05.2022	11:49:07	7,107	X	S	X		27.05.2022	114907	27.05.2022	114907	D$S	X	0	FF00B00300121F9D02BB7D73ED6DE348D670FD14C25F9C00EBB3F19E83FD10AC03D0A2BC16224B8A24C7C79F088AA2642294C890946CE35CFEFA6E5535C733C3	
ROW9|CL_API_OUTBOUND_DELIVE_DPC_EXTCM005	A			D$				I	S		SAP	15.06.2018	000022			001		SAP	27.05.2022	11:49:07	4,306	X	S	X		27.05.2022	114907	27.05.2022	114907	D$S	X	0	FF00000300121F9D02B46F6EBD6D1C4914AE9F42EC02EBC4586F1425D94BB00EE0488A4DC096045BBB499E089A922D6645512165C779C95FF756F5902687D3B7	
