SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_API_OUTBOUND_DELIVE_MPC_FLX*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         15
SBAR|
ALV|rows=15|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|CL_API_OUTBOUND_DELIVE_MPC_FLXCCDEF	A			D$				I	S		SAP	15.06.2018	000003			001		SAP	20.11.2020	09:24:27	187		S	X		20.11.2020	092427	20.11.2020	092427	D$S	X	0	FF00080000121F9D02BF9D325841180682E87C4AF0A4E24F85B4624093D254215F5F67B7953D498F1509C3D2CDCCA63DBCA59871C681E5F04441CFE7841B227B	
ROW1|CL_API_OUTBOUND_DELIVE_MPC_FLXCCIMP	A			D$				I	S		SAP	15.06.2018	000003			001		SAP	20.11.2020	09:24:27	174		S	X		20.11.2020	092427	20.11.2020	092427	D$S	X	0	FF00080000121F9D02B44F2D2B0CC240703E65E9B1F4A742542A44534C7AE8D7DBD94D8B1E84DC5A5AC230C9B80F1166C48A334EA4E08E849E77C61523B59091	
ROW2|CL_API_OUTBOUND_DELIVE_MPC_FLXCCMAC	A			D$				I	S		SAP	15.06.2018	000003			001		SAP	20.11.2020	09:24:27	144		S	X		20.11.2020	092427	20.11.2020	092427	D$S	X	0	FF00060000121F9D02698F0C56108861203A9F123CFA57A55B51B08DB8F5B05FBFBE56712F82D745CA3064324DD2C368D55107687A6856A2569D75411B74DCBB	
ROW3|CL_API_OUTBOUND_DELIVE_MPC_FLXCI	A			D$				I	S		SAP	15.06.2018	000003			001		SAP	20.11.2020	09:24:27	148		S	X		20.11.2020	092427	20.11.2020	092427	D$S	X	0	FF00060000121F9D02A39DB25761100882F0F72807E9D3F804211811C4402292EE10B110C484F80379FA733CD3A70CC831CCEDCEB2BBCDB183E3C59B96998A91	
ROW4|CL_API_OUTBOUND_DELIVE_MPC_FLXCM001	A			D$				I	S		SAP	15.06.2018	000003			001		SAP	20.11.2020	09:24:27	272		S	X		20.11.2020	092427	20.11.2020	092427	D$S	X	0	FF000E0000121F9D02B7FD32D8491808C2F0FF28AB67F40D3808166D82AD9146B8354614481092421A4FBE3A7C9D161A8C8678209274F36576776677DB26FF4C	
ROW5|CL_API_OUTBOUND_DELIVE_MPC_FLXCM002	A			D$				I	S		SAP	15.06.2018	000003			001		SAP	20.11.2020	09:24:27	543		S	X		20.11.2020	092427	20.11.2020	092427	D$S	X	0	FF00280000121F9D02B46B6E3B094341149D4FA93E61A2F2059A20F5D2C414828DE85353A128896D0920F0F7B8670AB694567831543A59E97D0E90ECB99C3385	
ROW6|CL_API_OUTBOUND_DELIVE_MPC_FLXCM003	A			D$				I	S		SAP	15.06.2018	000003			001		SAP	20.11.2020	09:24:27	320		S	X		20.11.2020	092427	20.11.2020	092427	D$S	X	0	FF00140000121F9D02B463463B09034114BD9FB2F8A409F50F3411ADDAA4B68934E05BD368D526058DA8F1EFF1EE54BAF000ED0304B5939359A6C96E21B977A6	
ROW7|CL_API_OUTBOUND_DELIVE_MPC_FLXCM004	A			D$				I	S		SAP	15.06.2018	000003			001		SAP	20.11.2020	09:24:27	371		S	X		20.11.2020	092427	20.11.2020	092427	D$S	X	0	FF00160000121F9D02B463462B0D034114BD9FB2FA6441FD03856AAA0662221A6CDF4269130D6822558A7E7DBD3B618D2195F4A5D892E132B39376761B38B3BB	
ROW8|CL_API_OUTBOUND_DELIVE_MPC_FLXCM005	A			D$				I	S		SAP	15.06.2018	000003			001		SAP	20.11.2020	09:24:27	269		S	X		20.11.2020	092427	20.11.2020	092427	D$S	X	0	FF000E0000121F9D0269BFDC75130682287A3F65120AAAE40F281270902563236C5E9585C0521A208228CADF93C3588068A81D7975B49EF1EEECBA98C78E7592	
ROW9|CL_API_OUTBOUND_DELIVE_MPC_FLXCM006	A			D$				I	S		SAP	15.06.2018	000003			001		SAP	20.11.2020	09:24:27	238		S	X		20.11.2020	092427	20.11.2020	092427	D$S	X	0	FF000E0000121F9D02B3FD725941100AC2F0FF2853AB5AD41BB4E86221984217AA5504492DB220A2D7B7CF6317DCB42E3C7C1CCE8C331E17FF8C8ECA659029D5	
