SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_*OUTB_DELIV*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         56
SBAR|
ALV|rows=56|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|CL_CRMS4_REPA_IM_OUTB_DELIV===CCAU	A			D$				I	S		SAP	13.06.2021	000005			500		SAP	20.05.2022	04:57:37	10,658	X	S	X		20.05.2022	045737	20.05.2022	045737	D$S	X	0	FF00980500121F9D02BB7D735B6EE348D2703E0A627C217BC3DAB0B57333136147D0222D6B56A2B42265CB570812070A6390800990B46FE6D5BD95995DA8AEEE	
ROW1|CL_CRMS4_REPA_IM_OUTB_DELIV===CCDEF	A			D$				I	S		SAP	13.06.2021	000001			500		SAP	13.06.2021	19:41:36	187	X	S	X		13.06.2021	194136	13.06.2021	194136	D$S	X	0	FF00080000121F9D026DA70C56108681203A9F123CA9F85321AD18D0A43455C8D7D7D96D654FD26345C2B07433B3690F6F29669C7160393C51D0F339E186C8DE	
ROW2|CL_CRMS4_REPA_IM_OUTB_DELIV===CCIMP	A			D$				I	S		SAP	13.06.2021	000001			500		SAP	13.06.2021	19:41:36	174	X	S	X		13.06.2021	194136	13.06.2021	194136	D$S	X	0	FF00080000121F9D026D9F5A56188481E07CCAD263E94F85A85488A698F4D0AFB7B39B163D08B9B5B4846192711F22CC8815679C48C11D093DEF8C2B466A2123	
ROW3|CL_CRMS4_REPA_IM_OUTB_DELIV===CCMAC	A			D$				I	S		SAP	13.06.2021	000001			500		SAP	13.06.2021	19:41:36	144	X	S	X		13.06.2021	194136	13.06.2021	194136	D$S	X	0	FF00060000121F9D02B447062B08C430109D4F091EFDABD2AD28D846DC7AD8AF5F5FABB817C1EB226518329926E961B4EAA803343D342B51ABCEBAA00D3AEE5D	
ROW4|CL_CRMS4_REPA_IM_OUTB_DELIV===CI	A			D$				I	S		SAP	13.06.2021	000001			500		SAP	13.06.2021	19:41:36	49	X	S	X		13.06.2021	194136	13.06.2021	194136	D$S	X	0	FF00020000121F9D0219C37F86028622864C86328644861286540605866220990C646732E433E431E8014546E1B0850000	
ROW5|CL_CRMS4_REPA_IM_OUTB_DELIV===CM001	A			D$				I	S		SAP	13.06.2021	000005			500		SAP	20.05.2022	04:57:38	3,235	X	S	X		20.05.2022	045738	20.05.2022	045738	D$S	X	0	FF001C0100121F9D02BF7D6BEB6D23B7C2E7A708E9C326C5BA40F7F2B2680AB8B6BB31AA588BD8295A14C5409646B636B2A4E812C72FFDEBDB73198AE49033A3	
ROW6|CL_CRMS4_REPA_IM_OUTB_DELIV===CO	A			D$				I	S		SAP	13.06.2021	000001			500		SAP	13.06.2021	19:41:36	46	X	S	X		13.06.2021	194136	13.06.2021	194136	D$S	X	0	FF00020000121F9D0219C37F86028622867C8612865486643099C2A0C0500CE5650265F218F48022A37058420000	
ROW7|CL_CRMS4_REPA_IM_OUTB_DELIV===CP	A		X	D$				K	S		SAP	13.06.2021	000002			500		SAP	05.11.2021	11:44:11	430	X	S	X		11.02.2025	131946	05.11.2021	114411	D$S	X	0	FF00380000121F9D02B35DB3796D1008A2F8FB53249742A13DF5DA43BF0E859496F4E31A524DA860A34453E85F6F9F4A71536C84604876F7F16375A3C10466DE	
ROW8|CL_CRMS4_REPA_IM_OUTB_DELIV===CT	A			D$				I	S		SAP	13.06.2021	000001			500		SAP	13.06.2021	19:41:36	221		S	X		13.06.2021	194136	13.06.2021	194136	D$S	X	0	FF00060000121F9D02B4532D2B08C340703E45BC081E3CF903BE0E4245A98F6BA949AA058DD207D2AFD7D9CDA107F16C0F65C864BBBB4D0BB313BC31C6906B00	
ROW9|CL_CRMS4_REPA_IM_OUTB_DELIV===CU	A			D$				I	S		SAP	13.06.2021	000002			500		SAP	05.11.2021	11:44:02	318	X	S	X		05.11.2021	114402	05.11.2021	114402	D$S	X	0	FF00140000121F9D02B71DB369691808C2F0FB537AF3A448B1DE5B9B6AA4626993A2A7254D53A8F845AA88BF3E3EBB6B7A28484F1E922C0FBB4C263BB9ECCE64	
