SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_SHP_API2_HEADER_PROCESS*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         21
SBAR|
ALV|rows=21|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|CL_SHP_API2_HEADER_PROCESS====CCAU	A			D$				I	S		SAP	22.01.2021	000002			001		SAP	16.05.2021	15:24:59	15,350	X	S	X		16.05.2021	152459	16.05.2021	152459	D$S	X	0	FF008A0600121F9D02D2BEB736B57165EDAE9FA293F990A42A9EC424EFE5A4267E0B23C0BC01C341B21DCF179510379505682481ED9964FE7ACE5A6B776BF7EE	
ROW1|CL_SHP_API2_HEADER_PROCESS====CCDEF	A			D$				I	S		SAP	22.01.2021	000001			001		SAP	22.01.2021	19:43:55	187	X	S	X		22.01.2021	194355	22.01.2021	194355	D$S	X	0	FF00080000121F9D02D64E19AC200C0341743E257852F1A7425A31A04969AA90AFAFB3DBCA9EA4C78A8461E96666D31EDE52CC38E3C07278A2A0E773C20D91BD	
ROW2|CL_SHP_API2_HEADER_PROCESS====CCIMP	A			D$				I	S		SAP	22.01.2021	000001			001		SAP	22.01.2021	19:43:55	174	X	S	X		22.01.2021	194355	22.01.2021	194355	D$S	X	0	FF00080000121F9D02DE3EB5AC300803C1F994A5C7D29F0A51A9104D31E9A15F6F67372D7A10726B6909C324E33E4498112BCE3891823B127ADE19578CD44246	
ROW3|CL_SHP_API2_HEADER_PROCESS====CCMAC	A			D$				I	S		SAP	22.01.2021	000001			001		SAP	22.01.2021	19:43:55	144	X	S	X		22.01.2021	194355	22.01.2021	194355	D$S	X	0	FF00060000121F9D02698F0C56108861203A9F123CFA57A55B51B08DB8F5B05FBFBE56712F82D745CA3064324DD2C368D55107687A6856A2569D75411B74DCBB	
ROW4|CL_SHP_API2_HEADER_PROCESS====CI	A			D$				I	S		SAP	22.01.2021	000002			001		SAP	16.05.2021	15:25:46	1,180	X	S	X		16.05.2021	152546	16.05.2021	152546	D$S	X	0	FF00860000121F9D02D6BE19F634110461787E8A1F253190F8D14413A220240A06D1E8A7CBD19ED850DA624B0BFE797D67B647BBBDBDF620147AB76F9E50AED7	
ROW5|CL_SHP_API2_HEADER_PROCESS====CM001	A			D$				I	S		SAP	22.01.2021	000002			001		SAP	05.03.2021	22:28:46	896	X	S	X		05.03.2021	222846	05.03.2021	222846	D$S	X	0	FF00500000121F9D0269DFEA7ADA0682E0FC94487D68904AD5F6A10F95A894921422B58020B4E5290A21058B1053020854DABF4E67F79238C6BE18D42F9B5B8D	
ROW6|CL_SHP_API2_HEADER_PROCESS====CM002	A			D$				I	S		SAP	22.01.2021	000002			001		SAP	16.05.2021	15:26:41	434	X	S	X		16.05.2021	152641	16.05.2021	152641	D$S	X	0	FF001E0000121F9D02B467063D0D0241147E3F85A31EEAC1A38926C6526D62D1B4C4E88910C096045BB455DB8B7FBDBE595A29013D34318132F9C2B2CB2E5CDE	
ROW7|CL_SHP_API2_HEADER_PROCESS====CM003	A			D$				I	S		SAP	22.01.2021	000003			001		SAP	16.05.2021	15:26:41	1,172	X	S	X		16.05.2021	152641	16.05.2021	152641	D$S	X	0	FF00760000121F9D02A77D73E9691B08E2F87C9448BDC081AAE5D01B9552A080CA4B94BE4E516A68B008841293A6CFAF4EFF3393609BF5DA81566067473FC571	
ROW8|CL_SHP_API2_HEADER_PROCESS====CM004	A			D$				I	S		SAP	22.01.2021	000002			001		SAP	16.05.2021	15:26:41	415	X	S	X		16.05.2021	152641	16.05.2021	152641	D$S	X	0	FF00220000121F9D02D6AEB9B5340C4441787E4A1EEB83827D142A54122FA04634A03E9558530D542C6D2AFAEBEB9CDD9AD826F1820573397C349BCDEE86C264	
ROW9|CL_SHP_API2_HEADER_PROCESS====CM005	A			D$				I	S		SAP	22.01.2021	000002			001		SAP	16.05.2021	15:26:41	718	X	S	X		16.05.2021	152641	16.05.2021	152641	D$S	X	0	FF00320000121F9D0269DF6A7BD30662B07F4AB44FEB07F60F9854AD68EB07DAA943DBBE450142414B0923D0C1AFEF1EFB72E442200B4CAA8EC67A949733F69D	
