SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=/SPE/CL_INB_ACTION_INFO*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         27
SBAR|
ALV|rows=27|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|/SPE/CL_INB_ACTION_INFO=======CCAU	A			D$				I	S		SAP	07.02.2022	000001			001		SAP	07.02.2022	22:09:55	5,858	X	S	X		07.02.2022	220955	07.02.2022	220955	D$S	X	0	FF009C0300121F9D02B46F764D4D2DCD1EEF8F42E1055AA7F6C3A35C6B558EC42D256F95206CAFA8108266AB88BC6CDD37E7AB73BA7BB2985964262BA08135D3	
ROW1|/SPE/CL_INB_ACTION_INFO=======CCDEF	A			D$				I	S		SAP	09.01.2005	000004			001		SAP	07.02.2022	22:09:55	95	X	S	X		07.02.2022	220955	07.02.2022	220955	D$S	X	0	FF00020000121F9D02630CFF193C19FC1842185C198218DC181C199C812C05861C864C863486782099C79004A4131992194AA0FC34867C200B441601E9528602	
ROW2|/SPE/CL_INB_ACTION_INFO=======CCIMP	A			D$				I	S		SAP	09.01.2005	000004			001		SAP	07.02.2022	22:09:55	552	X	S	X		07.02.2022	220955	07.02.2022	220955	D$S	X	0	FF00400000121F9D02A75D73E9491888A2F0D9FA2FBA7367A3AC5DF0D4465E8192E88A2888211230025BFF7A3D9DD207B4B411D4B49D9B2F9999E64E29C9997B	
ROW3|/SPE/CL_INB_ACTION_INFO=======CCMAC	A			D$				I	S		SAP	09.01.2005	000003			001		SAP	20.04.2020	09:17:07	144	X	S	X		20.04.2020	091707	20.04.2020	091707	D$S	X	0	FF00060000121F9D02DA1E19AC2010C340743E2578F4AF4AB7A2601B71EB61BF7E7DADE25E04AF8B9461C8649AA487D1AAA30ED0F4D0AC44AD3AEB8236E8B877	
ROW4|/SPE/CL_INB_ACTION_INFO=======CI	A			D$				I	S		SAP	09.12.2004	000010			001		SAP	07.02.2022	22:11:17	353	X	S	X		07.02.2022	221117	07.02.2022	221117	D$S	X	0	FF00180000121F9D02A71DB35B691808A2F07994BC80051FA1B48A05B5D206C1AB256DB71A9AFED0A4AD6F5FCF8E35BB82D22008493A1C48767726E4E23B33BB	
ROW5|/SPE/CL_INB_ACTION_INFO=======CM001	A			D$				I	S		SAP	09.12.2004	000006			001		SAP	07.02.2022	22:09:52	215	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF000E0000121F9D02DE7EB5AC200C03C1F9941EF5E21F786BC18B7A113C061F1182514B6CD1BFAFD32D6911FA01DA2C43D9DD34C965F63141838C58A3C00E2B	
ROW6|/SPE/CL_INB_ACTION_INFO=======CM003	A			D$				I	S		SAP	09.12.2004	000004			001		SAP	07.02.2022	22:09:52	181	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF000E0000121F9D02D67E19AB200C4351F47C8AF801425B041DDC2CB8A88B7B295A4B41AA50FFBF5E224882667170888F43207D2F9DCE0D491899882D250736	
ROW7|/SPE/CL_INB_ACTION_INFO=======CM006	A			D$				I	S		SAP	09.12.2004	000008			001		SAP	07.02.2022	22:09:52	199	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF000C0000121F9D026DB7EC551086C1287A1E459C74117FB18EA205077F40DC4BAD5A14B5D0FAFEF59A82D541BA64AAE190709390E9DEEF4BC86988153E3B16	
ROW8|/SPE/CL_INB_ACTION_INFO=======CM008	A			D$				I	S		SAP	09.12.2004	000005			001		SAP	07.02.2022	22:09:52	1,716	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF000E0100121F9D02B46F6EBB6D1B41189E47D1A51D3427FBAA411340767C427DAAA4BAB913645B4AD4289260C94D9B67ED651F238033B32445525A72B76E6A	
ROW9|/SPE/CL_INB_ACTION_INFO=======CM00C	A			D$				I	S		SAP	09.01.2005	000004			001		SAP	07.02.2022	22:09:52	101	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF00060000121F9D028CE13F830210FA32B83284307830F833B80079C90C390CA90C890C450CF10CF90C490C59405E3243094331831E58F5281C3EF03F9CE5CC	
ROW10|/SPE/CL_INB_ACTION_INFO=======CM00D	A			D$				I	S		SAP	09.01.2005	000004			001		SAP	07.02.2022	22:09:52	218	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF000C0000121F9D02DA6ED9AC200C0341781E658F7AD03750A856B1582B68403C898A14C51F50DFBFCEA668ACF6EAA1360CE9EE36BBB97CD35064106A82010C	
ROW11|/SPE/CL_INB_ACTION_INFO=======CM00E	A			D$				I	S		SAP	09.01.2005	000005			001		SAP	07.02.2022	22:09:52	573	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF002C0000121F9D02DEAE95ED240C44D1F32993F88246C50F70090A2A91C5086A7C229525D6A8180A2E5F5FCFDC015AB042628C527B73427367A1349CB9E72E	
ROW12|/SPE/CL_INB_ACTION_INFO=======CM00F	A			D$				I	S		SAP	17.12.2008	000003			001		SAP	20.04.2020	09:17:07	134	X	S	X		20.04.2020	091707	20.04.2020	091707	D$S	X	0	FF00060000121F9D023286FF0C0A40E8CBE0CA10C2E0C1E0CFE002E4A533A4329430C433E402E962204C048B1403458A807422430A9095C99007A433199281FC	
ROW13|/SPE/CL_INB_ACTION_INFO=======CM00G	A			D$				I	S		SAP	17.12.2008	000003			001		SAP	20.04.2020	09:17:07	137	X	S	X		20.04.2020	091707	20.04.2020	091707	D$S	X	0	FF00060000121F9D021DC37F060520F46570650861F060F0677001F28A1952194A18E21972817431102632A48359F10C45403A912105C8CA64C803D2990CC940	
ROW14|/SPE/CL_INB_ACTION_INFO=======CM00H	A			D$				I	S		SAP	05.04.2016	000003			001		SAP	07.02.2022	22:09:52	125	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF00060000121F9D021DC37F060520F46570650861F060F0677001F2D21952194A18E219F2198A183281BC4C863C302F89210B28930C94D303EBA20C2A814D35	
ROW15|/SPE/CL_INB_ACTION_INFO=======CM00I	A			D$				I	S		SAP	05.04.2016	000003			001		SAP	07.02.2022	22:09:52	124	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF00060000121F9D0219C37F060520F46570650861F060F0677001F28A1952194A18E219F2198A183219D281380FCC4B62C802CA2403E5F4C0BA28834A60538D	
ROW16|/SPE/CL_INB_ACTION_INFO=======CM00J	A			D$				I	S		SAP	03.04.2018	000003			001		SAP	20.04.2020	09:17:07	159	X	S	X		20.04.2020	091707	20.04.2020	091707	D$S	X	0	FF000A0000121F9D023A86FF0C0A40E8CBE0CA10C2E0C1E0CFE002E4A533A4329430C433243214306402E94C863C8634867C063DB0DA51389CE07F382B95A10C	
ROW17|/SPE/CL_INB_ACTION_INFO=======CM00K	A			D$				I	S		SAP	03.04.2018	000003			001		SAP	20.04.2020	09:17:07	169	X	S	X		20.04.2020	091707	20.04.2020	091707	D$S	X	0	FF000C0000121F9D0269B7EC7110866130FA8EC209B8011B95588085BD4234858A1622C1C0EDCBD754A006F133A7589F123B96333D3B312D136949C686056BE6	
ROW18|/SPE/CL_INB_ACTION_INFO=======CM00L	A			D$				I	S		SAP	03.04.2018	000004			001		SAP	07.02.2022	22:09:52	148	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF000A0000121F9D0269B76C5218848130FA8EE209841E4154E8A2B620DD4B29B604AA2D51BCBEFDA2205D79807478849961B27B931F6612515172E5C8854295	
ROW19|/SPE/CL_INB_ACTION_INFO=======CM00M	A			D$				I	S		SAP	03.04.2018	000004			001		SAP	07.02.2022	22:09:52	158	X	S	X		07.02.2022	220952	07.02.2022	220952	D$S	X	0	FF000C0000121F9D02DA6E19AC20080461F87B949EA07788123C54827897D0AD242D310FBEBDFD6C1075493ABA0D1FBB33BBB0A76F76184616624744464CC246	
