SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI2-LOW=/SPE/CL_INB_ACTION_INFO*
TABLE|WBCROSSGT
TITLE|Data Browser: Table WBCROSSGT Select Entries        137
SBAR|
ALV|rows=137|cols=11
HDR|OTYPE	NAME	INCLUDE	DIRECT	INDIRECT	COMPONENT	ISHASH	UDATE	UZEIT	UNAME	START_FULLNAME_TAG	
ROW0|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT1_SAVE_HH	MV50AF0D	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW1|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT1_SAVE_HR	MV50AF0D	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW2|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT1_ST	LMIGOKD1	X				01.07.2025	00:00:05	BATCH_USER	TY	
ROW3|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT1_WA	FV50XF0B_BELEG_SICHERN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW4|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT1_WA	LMIGOKD1	X				01.07.2025	00:00:05	BATCH_USER	TY	
ROW5|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT1_WA	MQEVAF12	X				20.08.2025	00:00:07	BATCH_USER	TY	
ROW6|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT1_WA	MV50AF0B_RETURN_EKES_FUELLEN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW7|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT2_BS	LMIGOKD1	X				01.07.2025	00:00:05	BATCH_USER	TY	
ROW8|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT2_MDIFF	FV50XF0B_BELEG_SICHERN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW9|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT2_MDIFF	LMBWLU04	X				20.06.2025	00:00:05	BATCH_USER	TY	
ROW10|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT2_MDIFF	LMIGOKD1	X				01.07.2025	00:00:05	BATCH_USER	TY	
ROW11|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT2_MDIFF	MQEVAF12	X				20.08.2025	00:00:07	BATCH_USER	TY	
ROW12|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT2_MDIFF	MV50AF0B_RETURN_EKES_FUELLEN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW13|DA	/SPE/CL_INB_ACTION_INFO\DA:C_ACT3_RL_AUSL	FV50XF0B_BELEG_SICHERN	X				17.12.2023	00:00:27	BATCH_USER	TY	
