"SearchedRoot"	"Present"	"Project"	"CreatedOn"	"LastChangedOn"	"Description"
"API_OUTBOUND_DELIVERY"	"YES"	"API_OUTBOUND_DELIVERY"	"09.01.2017"	"17.05.2018"	"Remote API for Outbound Delivery"
"API_OUTBOUND_DELIVERY"	"YES"	"API_OUTBOUND_DELIVERY_0002"	"04.06.2018"	"19.05.2022"	"Remote API for Outbound Delivery"
"API_INBOUND_DELIVERY"	"YES"	"API_INBOUND_DELIVERY"	"20.06.2017"	"29.01.2021"	"Remote API for Inbound Delivery"
"API_INBOUND_DELIVERY"	"YES"	"API_INBOUND_DELIVERY_0002"	"04.06.2018"	"05.04.2022"	"Remote API for Inbound Delivery"
"API_MATERIAL_DOCUMENT"	"YES"	"API_MATERIAL_DOCUMENT"	"08.11.2016"	"24.02.2022"	"OData Service for Material Document API"
"API_MATERIAL_STOCK"	"YES"	"API_MATERIAL_STOCK"	"03.05.2017"	"03.05.2017"	"OData Service for Material Stock API"
"API_PRODUCT_AVAILY_INFO_BASIC"	"YES"	"API_PRODUCT_AVAILY_INFO_BASIC"	"13.02.2017"	"14.03.2017"	"Basic remote API for ATP Info"
"API_PURCHASEORDER_PROCESS"	"YES"	"API_PURCHASEORDER_PROCESS"	"22.08.2016"	"04.08.2021"	"OData service for PO API"
"API_SALES_ORDER"	"YES"	"API_SALES_ORDER"	"04.11.2016"	"24.05.2022"	"Remote API for SD Sales Order"
"API_SALES_ORDER"	"YES"	"API_SALES_ORDER_SIMULATION"	"19.12.2018"	"21.01.2019"	"Remote API for SD Sales Order Simulation"
"API_SALES_ORDER"	"YES"	"API_SALES_ORDER_WITHOUT_CHARGE"	"07.03.2018"	"03.08.2020"	"Remote API for SD Sales Order Without Charge"
"API_BILLING_DOCUMENT"	"YES"	"API_BILLING_DOCUMENT"	"03.07.2017"	"19.02.2020"	"Remote API for SD Billing Document"
"API_BILLING_DOCUMENT"	"YES"	"API_BILLING_DOCUMENT_REQUEST"	"14.12.2017"	"08.03.2018"	"Remote API for SD Billing Document Request"
"API_PHYSICAL_INVENTORY_DOC"	"YES"	"API_PHYSICAL_INVENTORY_DOC"	"26.10.2016"	"20.05.2021"	"OData Service for Physical Inventory API"
"API_BATCH"	"NO"	""	""	""	""
"API_CREDIT_MEMO_REQUEST"	"YES"	"API_CREDIT_MEMO_REQUEST"	"03.05.2017"	"03.08.2020"	"Remote API for SD Credit Memo Request"
"API_DEBIT_MEMO_REQUEST"	"YES"	"API_DEBIT_MEMO_REQUEST"	"03.05.2017"	"23.02.2022"	"Remote API for SD Debit Memo Request"
"API_BILLINGDOCUMENT"	"NO"	""	""	""	""
"API_FREIGHTORDER"	"NO"	""	""	""	""
