"Project"	"NormalizedFamily"	"MatchFamilies"	"CreatedBy"	"CreatedOn"	"LastChangedOn"	"Description"
"API_PRODUCT_ALLOC_SEQUENCE"	"API_PRODUCT_ALLOC_SEQUENCE"	"Availability"	"SAP"	"05.05.2017"	"28.04.2022"	"API for Product Allocation Sequence"
"API_PRODUCT_ALLOCATION_OBJECT"	"API_PRODUCT_ALLOCATION_OBJECT"	"Availability"	"SAP"	"11.04.2017"	"16.03.2022"	"API for Product Allocation Object"
"API_PRODUCT_AVAILY_INFO_BASIC"	"API_PRODUCT_AVAILY_INFO_BASIC"	"Availability"	"SAP"	"13.02.2017"	"14.03.2017"	"Basic remote API for ATP Info"
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT"	"Billing"	"SAP"	"03.07.2017"	"19.02.2020"	"Remote API for SD Billing Document"
"API_BILLING_DOCUMENT_REQUEST"	"API_BILLING_DOCUMENT_REQUEST"	"Billing"	"SAP"	"14.12.2017"	"08.03.2018"	"Remote API for SD Billing Document Request"
"API_CN_VAT_INVOICE"	"API_CN_VAT_INVOICE"	"Billing"	"SAP"	"17.07.2019"	"12.10.2021"	"API for China VAT Invoice"
"API_JVA_BILLING"	"API_JVA_BILLING"	"Billing"	"SAP"	"24.04.2020"	"02.06.2020"	"API for JVA Billing"
"API_SUBSQNT_BILLG_DOC_SBI"	"API_SUBSQNT_BILLG_DOC_SBI"	"Billing"	"SAP"	"04.11.2019"	"19.05.2020"	"Display Subsequent Billing Document for Self-Billing"
"API_SUPPLIERINVOICE_PROCESS"	"API_SUPPLIERINVOICE_PROCESS"	"Billing"	"SAP"	"05.10.2016"	"10.03.2022"	"OData service SI API"
"API_CUSTOMER_RETURNS_DELIVERY"	"API_CUSTOMER_RETURNS_DELIVERY"	"Delivery"	"SAP"	"10.10.2017"	"29.01.2021"	"Remote API for Customer Returns Delivery"
"API_CUSTOMER_RETURNS_DLV_0002"	"API_CUSTOMER_RETURNS_DLV"	"Delivery"	"SAP"	"04.06.2018"	"19.05.2022"	"Remote API for Customer Returns Delivery"
"API_DEL_DOC_WITH_CREDIT_BLOCK"	"API_DEL_DOC_WITH_CREDIT_BLOCK"	"Delivery"	"SAP"	"02.05.2018"	"14.05.2020"	"API for Credit Blocked Delivery Document"
"API_INBOUND_DELIVERY"	"API_INBOUND_DELIVERY"	"Delivery"	"SAP"	"20.06.2017"	"29.01.2021"	"Remote API for Inbound Delivery"
"API_INBOUND_DELIVERY_0002"	"API_INBOUND_DELIVERY"	"Delivery"	"SAP"	"04.06.2018"	"05.04.2022"	"Remote API for Inbound Delivery"
"API_OUTBOUND_DELIVERY"	"API_OUTBOUND_DELIVERY"	"Delivery"	"SAP"	"09.01.2017"	"17.05.2018"	"Remote API for Outbound Delivery"
"API_OUTBOUND_DELIVERY_0002"	"API_OUTBOUND_DELIVERY"	"Delivery"	"SAP"	"04.06.2018"	"19.05.2022"	"Remote API for Outbound Delivery"
"API_CV_ATTACHMENT"	"API_CV_ATTACHMENT"	"EDocumentIndia"	"SAP"	"04.01.2017"	"11.04.2022"	"Gateway: API for Attachment Service"
"API_MATERIAL_DOCUMENT"	"API_MATERIAL_DOCUMENT"	"GoodsMovement"	"SAP"	"08.11.2016"	"24.02.2022"	"OData Service for Material Document API"
"API_CREDIT_MEMO_REQUEST"	"API_CREDIT_MEMO_REQUEST"	"InvoiceCorrection"	"SAP"	"03.05.2017"	"03.08.2020"	"Remote API for SD Credit Memo Request"
"API_DEBIT_MEMO_REQUEST"	"API_DEBIT_MEMO_REQUEST"	"InvoiceCorrection"	"SAP"	"03.05.2017"	"23.02.2022"	"Remote API for SD Debit Memo Request"
"API_ORDER_BILL_OF_MATERIAL"	"API_ORDER_BILL_OF_MATERIAL"	"SalesPredecessor"	"SAP"	"12.11.2019"	"13.03.2020"	"Sales Order Bill of Material CRUD API"
"API_SALES_ORDER"	"API_SALES_ORDER"	"SalesPredecessor"	"SAP"	"04.11.2016"	"24.05.2022"	"Remote API for SD Sales Order"
"API_SALES_ORDER_SIMULATION"	"API_SALES_ORDER_SIMULATION"	"SalesPredecessor"	"SAP"	"19.12.2018"	"21.01.2019"	"Remote API for SD Sales Order Simulation"
"API_MATERIAL_STOCK"	"API_MATERIAL_STOCK"	"StockInventory"	"SAP"	"03.05.2017"	"03.05.2017"	"OData Service for Material Stock API"
"API_PHYSICAL_INVENTORY_DOC"	"API_PHYSICAL_INVENTORY_DOC"	"StockInventory"	"SAP"	"26.10.2016"	"20.05.2021"	"OData Service for Physical Inventory API"
"API_PURCHASEORDER_PROCESS"	"API_PURCHASEORDER_PROCESS"	"STOProcurement"	"SAP"	"22.08.2016"	"04.08.2021"	"OData service for PO API"
"API_COSTCENTER"	"API_COSTCENTER"	"Transportation"	"SAP"	"11.07.2017"	"26.09.2017"	"API for Cost Center"
"API_COSTCENTERACTIVITYTYPE"	"API_COSTCENTERACTIVITYTYPE"	"Transportation"	"SAP"	"14.07.2017"	"27.09.2017"	"API for Cost Center Activity Type"
"API_COSTCNTRACTIVITYTYPE_CRUD"	"API_COSTCNTRACTIVITYTYPE_CRUD"	"Transportation"	"SAP"	"09.07.2019"	"19.08.2019"	"CRUD API for Cost Center Activity Type"
"API_FCO_COST_RATE"	"API_FCO_COST_RATE"	"Transportation"	"SAP"	"12.06.2018"	"27.09.2018"	"Cost Rate API"
"API_FINPLAN_COSTESTIMATE_ITEMS"	"API_FINPLAN_COSTESTIMATE_ITEMS"	"Transportation"	"SAP"	"13.06.2019"	"17.08.2021"	"API for CostEstimate Items"
"API_SALES_ORDER_WITHOUT_CHARGE"	"API_SALES_ORDER_WITHOUT_CHARGE"	"Transportation;SalesPredecessor"	"SAP"	"07.03.2018"	"03.08.2020"	"Remote API for SD Sales Order Without Charge"
