Sales Organization | Ref.dist.channel-Cust/Material | Plant | Name | Name | Name 1
1000 | 10 | 1000 | Shree Cement​ Ltd | Trade | SCL Beawar | Table  | TVKWZ
1000 | 10 | 1001 | Shree Cement​ Ltd | Trade | SCL Shree Mega Power
1000 | 10 | 1002 | Shree Cement​ Ltd | Trade | SCL Ras
1000 | 10 | 1003 | Shree Cement​ Ltd | Trade | SCL RNCU
1000 | 10 | 1004 | Shree Cement​ Ltd | Trade | SCL-Nawalgarh
1000 | 10 | 1005 | Shree Cement​ Ltd | Trade | SCL-Khushkhera
1000 | 10 | 1006 | Shree Cement​ Ltd | Trade | SCL-Jobner
1000 | 10 | 1007 | Shree Cement​ Ltd | Trade | SCL ROORKEE
1000 | 10 | 1008 | Shree Cement​ Ltd | Trade | SCL-Suratgarh -I
1000 | 10 | 1009 | Shree Cement​ Ltd | Trade | SCL-Suratgarh -II
1000 | 10 | 1010 | Shree Cement​ Ltd | Trade | SCL-UPGU
1000 | 10 | 1011 | Shree Cement​ Ltd | Trade | SCL-UPGU AAC
1000 | 10 | 1012 | Shree Cement​ Ltd | Trade | SCL-Panipat
1000 | 10 | 1013 | Shree Cement​ Ltd | Trade | SCL-Bhuj
1000 | 10 | 1014 | Shree Cement​ Ltd | Trade | BANGUR CEMENT UNIT
1000 | 10 | 1015 | Shree Cement​ Ltd | Trade | SHREE CEMENT LIMITED, NAGAUR
1000 | 10 | 1017 | Shree Cement​ Ltd | Trade | SCL Jaisalmer
1000 | 10 | 1018 | Shree Cement​ Ltd | Trade | SHREE CEMENT LIMITED, DHAR
1000 | 10 | 1019 | Shree Cement​ Ltd | Trade | SHREE CEMENT LIMITED, SINLA
1000 | 10 | 1021 | Shree Cement​ Ltd | Trade | RAJASTHAN WIND POWER 35.7 MW
1000 | 10 | 1031 | Shree Cement​ Ltd | Trade | BANGUR SOLAR PLANT RAJASTHAN
1000 | 10 | 1040 | Shree Cement​ Ltd | Trade | SCL-Raipur
1000 | 10 | 1041 | Shree Cement​ Ltd | Trade | SCL-Aurangabad - 1
1000 | 10 | 1042 | Shree Cement​ Ltd | Trade | SCL-Aurangabad - 2
1000 | 10 | 1043 | Shree Cement​ Ltd | Trade | SCL-Banka Solar - 1
